episode	1	-33444	3148.0	-57676.940434117234
episode	2	-32298	1695.0	-56182.09788534997
episode	3	-33214	3015.0	-58597.86102820748
episode	4	-30811	308.0	-51916.63395115607
episode	5	-31968	1293.0	-55028.06489848827
episode	6	-31085	646.0	-52996.48393392426
episode	7	-32161	1450.0	-55478.81469496501
episode	8	-31264	804.0	-53401.63392283043
episode	9	-32207	1679.0	-56092.06464682793
episode	10	-30923	504.0	-52783.93394407545
episode	11	-31313	744.0	-53645.98391981569
episode	12	-30784	370.0	-52455.492286204055
episode	13	-31235	718.0	-52720.3339246191
episode	14	-33617	3019.0	-58679.93013430678
episode	15	-31205	520.0	-53256.57559313961
episode	16	-32114	1925.0	-55720.09807762872
episode	17	-31999	1278.0	-54972.56486562737
episode	18	-31034	459.0	-52915.58393710853
episode	19	-31196	746.0	-53777.61726036314
episode	20	-32138	1889.0	-55897.064719086826
episode	21	-30935	454.0	-52213.63394331986
episode	22	-31099	412.0	-52916.66726638531
episode	23	-31906	1627.0	-55462.581631074274
episode	24	-33187	3002.0	-58433.194414629485
episode	25	-32211	1910.0	-56426.98130931548
episode	26	-30944	649.0	-53069.17560942019
episode	27	-30962	543.0	-52959.33394162191
episode	28	-31329	846.0	-53821.43391883334
episode	29	-30834	282.0	-52444.7839496978
episode	30	-30858	312.0	-52530.03394817845
episode	31	-33564	3071.0	-58012.696937573695
episode	32	-30828	300.0	-52596.40895007801
episode	33	-32088	1726.0	-55806.464771648505
episode	34	-31186	963.0	-52922.73392764892
episode	35	-33819	3590.0	-59644.2796178468
episode	36	-33399	2864.0	-58184.04736578767
episode	37	-32010	1811.0	-55638.939853982825
episode	38	-32145	1406.0	-55769.3813784083
episode	39	-33588	3169.0	-57792.49838071648
episode	40	-32010	1273.0	-54976.26485398283
episode	41	-30808	546.0	-52565.10061801311
episode	42	-33218	2752.0	-58455.7610203502
episode	43	-32087	1394.0	-54904.14810603481
episode	44	-32107	1543.0	-55882.03141832184
episode	45	-33028	2405.0	-56853.39472910568
episode	46	-32328	1957.0	-56419.614520880714
episode	47	-33250	2573.0	-57697.38595756301
episode	48	-32709	1984.0	-56517.69536969268
episode	49	-30808	392.0	-52493.43395134642
episode	50	-30968	513.0	-52217.133941245
episode	51	-31081	0.0	-52041.03200000001
episode	52	-33145	2428.0	-57187.89449739176
episode	53	-32167	1698.0	-55417.3396886782
episode	54	-31071	383.0	-52320.567268130675
episode	55	-32017	1370.0	-55266.78151324359
episode	56	-31894	1311.0	-54934.3649771967
episode	57	-31760	1510.0	-54963.56512068544
episode	58	-30927	742.0	-52656.5089438235
episode	59	-33114	2352.0	-57391.84455861915
episode	60	-30912	159.0	-51950.40894476858
episode	61	-30996	718.0	-53300.000606154645
episode	62	-31312	888.0	-52883.133919877146
episode	63	-31822	1317.0	-55079.715054140215
episode	64	-31210	675.0	-53323.38392616372
episode	65	-31143	584.0	-52841.03393031562
episode	66	-33484	3237.0	-58465.92214463276
episode	67	-31960	1626.0	-55326.81490697918
episode	68	-31067	661.0	-52419.73393504692
episode	69	-32097	1727.0	-55130.03976217494
episode	70	-30820	292.0	-52295.40895058519
episode	71	-31343	1056.0	-54104.98391797462
episode	72	-30869	97.0	-51850.61728081622
episode	73	-31934	1500.0	-55212.35660127155
episode	74	-30874	0.0	-51834.03200000001
episode	75	-33720	3363.0	-59508.213203475716
episode	76	-31054	474.0	-52961.483935858545
episode	77	-31187	986.0	-53006.883927586976
episode	78	-32155	1558.0	-55451.27303458756
episode	79	-32170	1701.0	-55544.86468553571
episode	80	-32238	1927.0	-56285.32294780096
episode	81	-30855	284.0	-51973.700615034904
episode	82	-32184	1578.0	-55409.889670878736
episode	83	-31978	1514.0	-54989.46488788079
episode	84	-30897	618.0	-52885.13394571458
episode	85	-31258	829.0	-52837.683923200224
episode	86	-31055	783.0	-53396.41726912944
episode	87	-31212	798.0	-53747.700592706715
episode	88	-31369	848.0	-53870.867249715215
episode	89	-31740	1321.0	-55013.465142208806
episode	90	-33119	2720.0	-57705.55288206898
episode	91	-31875	1587.0	-55178.164997466425
episode	92	-31869	1227.0	-54465.990003872575
episode	93	-31883	1137.0	-55054.61498892876
episode	94	-31993	1781.0	-55939.49820531576
episode	95	-33314	3025.0	-58234.622588141814
