episode,node_id,train_id,block,init_arr_time,init_dep_time,final_arr_time,final_dep_time,arr_delay_sec,dep_delay_sec
1,0,start,0,00:00:00,00:00:00,00:00:00,00:00:00,0,0
1,1,A,29,07:00:03,07:00:47,07:00:03,07:00:47,0,0
1,2,A,9,07:00:03,07:00:47,07:00:47,07:01:31,44,44
1,3,A,23,07:00:03,07:01:07,07:01:31,07:25:54,88,1487
1,4,A,8,07:00:03,07:01:07,07:25:54,07:26:58,1551,1551
1,5,A,20,07:00:03,07:08:38,07:26:58,07:35:33,1615,1615
1,6,A,5,07:00:03,07:08:38,07:35:33,07:44:08,2130,2130
1,7,A,15,07:07:07,07:09:13,07:44:08,07:46:14,2221,2221
1,8,A,1,07:07:07,07:09:13,07:46:14,07:48:20,2347,2347
1,9,A,27,07:07:15,07:09:32,07:48:20,07:50:37,2465,2465
1,10,A,3,07:07:15,07:15:17,07:50:37,07:58:39,2602,2602
1,11,B,30,07:03:01,07:03:44,07:03:01,07:03:44,0,0
1,12,B,10,07:03:01,07:03:44,07:03:44,07:04:27,43,43
1,13,B,24,07:03:01,07:04:10,07:04:27,07:25:54,86,1304
1,14,B,8,07:03:01,07:04:10,07:25:54,07:27:03,1373,1373
1,15,B,20,07:03:01,07:11:28,07:27:03,07:35:30,1442,1442
1,16,B,5,07:03:01,07:11:28,07:35:30,07:43:57,1949,1949
1,17,B,15,07:10:07,07:12:33,07:43:57,07:46:23,2030,2030
1,18,B,1,07:10:07,07:12:33,07:46:23,07:48:49,2176,2176
1,19,B,27,07:10:15,07:12:56,07:48:49,07:51:30,2314,2314
1,20,B,3,07:10:15,07:17:12,07:51:30,07:58:27,2475,2475
1,21,C,13,07:01:39,07:01:55,07:01:39,07:01:55,0,0
1,22,C,3,07:01:39,07:01:55,07:01:55,07:02:11,16,16
1,23,C,12,07:01:39,07:02:09,07:02:11,07:02:41,32,32
1,24,C,1,07:01:39,07:02:09,07:02:41,07:03:11,62,62
1,25,C,18,07:01:39,07:06:55,07:03:11,07:08:27,92,92
1,26,C,4,07:01:39,07:02:14,07:08:27,07:09:02,408,408
1,27,C,6,07:01:39,07:06:55,07:09:02,07:14:18,443,443
1,28,C,22,07:05:44,07:06:55,07:14:18,07:15:29,514,514
1,29,C,7,07:05:44,07:06:24,07:15:29,07:16:09,585,585
1,30,C,8,07:05:44,07:06:55,07:16:09,07:17:20,625,625
1,31,C,25,07:06:07,07:08:58,07:17:20,07:20:11,673,673
1,32,C,9,07:06:07,07:08:58,07:20:11,07:23:02,844,844
1,33,D,29,07:00:03,07:00:48,07:02:02,07:02:47,119,119
1,34,D,9,07:00:03,07:00:48,07:02:47,07:03:32,164,164
1,35,D,23,07:00:03,07:01:06,07:03:32,07:25:54,209,1488
1,36,D,8,07:00:03,07:01:06,07:25:54,07:26:57,1551,1551
1,37,D,20,07:00:03,07:08:46,07:26:57,07:35:40,1614,1614
1,38,D,5,07:00:03,07:08:46,07:35:40,07:44:23,2137,2137
1,39,D,15,07:07:18,07:09:26,07:44:23,07:46:31,2225,2225
1,40,D,1,07:07:18,07:09:26,07:46:31,07:48:39,2353,2353
1,41,D,27,07:07:26,07:09:46,07:48:39,07:50:59,2473,2473
1,42,D,3,07:07:26,07:14:35,07:50:59,07:58:08,2613,2613
1,43,E,13,07:01:39,07:01:55,07:03:39,07:03:55,120,120
1,44,E,3,07:01:39,07:01:55,07:03:55,07:04:11,136,136
1,45,E,12,07:01:39,07:02:09,07:04:11,07:04:41,152,152
1,46,E,1,07:01:39,07:02:09,07:04:41,07:05:11,182,182
1,47,E,18,07:01:39,07:06:39,07:05:11,07:11:02,212,263
1,48,E,4,07:01:39,07:02:14,07:11:02,07:16:18,563,844
1,49,E,6,07:01:39,07:06:39,07:16:18,07:21:18,879,879
1,50,E,22,07:05:39,07:06:39,07:21:18,07:22:18,939,939
1,51,E,7,07:05:39,07:06:15,07:22:18,07:22:54,999,999
1,52,E,8,07:05:39,07:06:39,07:22:54,07:23:54,1035,1035
1,53,E,25,07:05:59,07:08:24,07:23:54,07:26:19,1075,1075
1,54,E,9,07:05:59,07:08:24,07:26:19,07:28:44,1220,1220
1,55,end,0,00:00:00,00:00:00,00:00:00,00:00:00,0,0

